,uid,startTime,prior_context(sec),prior_context_speech_rate,dixit(sec),dixit_speech_rate,whole_conv_length(sec)
1287,11,1686044822701,7.143,0.7,16.702,0.838,78.629
1288,3,1686046117723,7.94,1.008,17.681,0.452,68.602
1289,15,1686046118975,7.581,1.055,16.719,1.495,61.808
1292,4,1686047589724,7.066,1.84,36.625,0.055,77.004
1294,11,1686048215279,7.668,0.913,15.564,0.9,83.073
1295,1,1686048294690,6.262,0.798,27.62,0.072,74.785
1296,15,1686048580061,6.944,0.72,17.731,1.41,82.382
1297,9,1686049728902,7.433,1.345,26.31,0.646,162.66
1298,11,1686049771022,6.263,0.798,14.996,0.8,69.535
1299,13,1686049787510,9.717,2.882,15.789,0.697,77.116
1301,3,1686051210915,6.355,1.259,15.705,0.318,69.992
1302,19,1686051225460,5.769,0.347,25.508,0.549,156.782
1303,15,1686051283670,7.57,1.717,39.749,0.226,102.361
1304,4,1686052303245,7.411,1.754,16.233,1.294,59.079
1306,1,1686053387063,6.618,0.756,19.99,0.35,64.624
1307,10,1686054026547,7.788,1.284,19.553,2.506,83.116
1308,15,1686054370912,25.062,0.2,27.943,0.429,119.285
1309,10,1686054739405,6.307,1.427,31.292,0.959,81.812
1310,9,1686054769346,14.066,1.493,17.221,0.755,172.891
1312,13,1686054828983,11.083,0.271,16.724,0.897,87.926
1313,11,1686054901837,5.985,0.835,23.724,0.801,67.762
1315,3,1686056251912,6.833,1.171,20.722,0.531,77.356
1316,15,1686057330586,11.782,1.103,27.114,0.443,84.887
1317,4,1686057342843,6.572,1.369,34.138,0.059,90.417
1318,7,1686057530746,7.103,0.704,24.888,0.241,195.189
1319,12,1686057548481,62.513,0.096,16.267,0.615,124.11
1320,11,1686057864105,6.423,0.778,17.322,1.039,77.736
1321,1,1686058479712,6.237,0.802,23.355,0.086,74.627
1322,6,1686058999766,8.547,2.34,17.583,1.308,136.985
1323,19,1686059148333,5.964,0.335,19.661,0.559,72.343
1324,3,1686059157234,6.23,1.284,15.169,0.396,69.352
